indice,nombre,localizacion,año,kilometros recorridos,combustible,transmision,tipo propietario,kilometraje,motor,potencia,asientos,precio
199,Maruti Swift Dzire VDI,Kolkata,2013,48000,Diesel,Manual,First,23.4 ,1248.0,74.0,5.0,18.22921787709497
200,Maruti Dzire ZDI,Coimbatore,2014,64917,Diesel,Manual,First,28.4 ,1248.0,73.75,5.0,8.95
201,Honda City i VTEC V,Jaipur,2017,19678,Petrol,Manual,First,17.8 ,1497.0,117.3,5.0,18.22921787709497
202,Jaguar XF Diesel,Kolkata,2014,12000,Diesel,Automatic,First,14.74 ,2993.0,270.9,5.0,18.22921787709497
203,BMW 3 Series 320d Luxury Line,Delhi,2014,41309,Diesel,Automatic,First,18.88 ,1995.0,184.0,5.0,18.22921787709497
204,BMW 3 Series Luxury Line,Coimbatore,2018,25038,Diesel,Automatic,First,21.76 ,1995.0,190.0,5.0,62.07
205,Chevrolet Beat Diesel LS,Coimbatore,2016,68673,Diesel,Manual,First,25.44 ,936.0,56.3,5.0,18.22921787709497
206,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,26343,Diesel,Automatic,First,19.27 ,2143.0,167.62,5.0,18.22921787709497
207,Maruti Omni E 8 Str STD,Bangalore,2005,81245,Petrol,Manual,Fourth & Above,16.8 ,796.0,34.2,8.0,18.22921787709497
208,Nissan Micra Diesel XV,Delhi,2012,62100,Diesel,Manual,First,23.08 ,1461.0,63.1,5.0,18.22921787709497
209,Volkswagen Vento Petrol Highline,Pune,2013,104000,Petrol,Manual,First,15.04 ,1598.0,103.6,5.0,18.22921787709497
210,Audi A6 2011-2015 2.0 TDI Premium Plus,Coimbatore,2014,114831,Diesel,Automatic,First,17.68 ,1968.0,174.33,5.0,18.22921787709497
211,Fiat Linea Dynamic,Mumbai,2010,46000,Petrol,Manual,First,14.6 ,1368.0,88.7,5.0,18.22921787709497
212,Hyundai Verna 1.6 SX,Jaipur,2014,80000,Diesel,Manual,First,22.32 ,1582.0,126.32,5.0,18.22921787709497
213,Hyundai i20 Active 1.2 S,Kolkata,2016,9201,Petrol,Manual,First,17.19 ,1197.0,81.86,5.0,18.22921787709497
214,Honda Brio V MT,Kochi,2013,55311,Petrol,Manual,First,19.4 ,1198.0,86.8,5.0,18.22921787709497
215,Honda Mobilio RS Option i DTEC,Coimbatore,2015,58217,Diesel,Manual,First,24.5 ,1498.0,98.6,7.0,18.22921787709497
216,Mitsubishi Pajero Sport 4X4,Delhi,2013,70655,Diesel,Manual,First,13.5 ,2477.0,175.56,7.0,31.93
217,Hyundai i10 Magna,Kolkata,2015,46000,Petrol,Manual,First,20.36 ,1197.0,78.9,5.0,18.22921787709497
218,Tata Manza Club Class Quadrajet90 LS,Pune,2014,125000,Diesel,Manual,First,21.02 ,1248.0,88.8,5.0,18.22921787709497
219,Renault Duster Adventure Edition,Mumbai,2014,59000,Diesel,Manual,First,19.01 ,1461.0,108.45,5.0,18.22921787709497
220,Hyundai Verna CRDi 1.6 AT SX Plus,Mumbai,2013,66000,Diesel,Automatic,Second,22.0 ,1582.0,126.2,5.0,15.88
221,Maruti Ritz VDi,Hyderabad,2009,82242,Diesel,Manual,First,21.1 ,1248.0,73.9,5.0,18.22921787709497
222,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2012,107281,Diesel,Manual,First,12.8 ,2494.0,102.0,8.0,18.22921787709497
223,Tata Sumo EX 10/7 Str BSII,Chennai,2015,196000,Diesel,Manual,Second,12.2 ,1948.0,68.0,10.0,18.22921787709497
224,Audi Q3 35 TDI Quattro Premium Plus,Ahmedabad,2015,75000,Diesel,Automatic,First,15.17 ,1968.0,181.0,5.0,43.65
225,Fiat Grande Punto 1.2 Emotion,Kolkata,2011,11791,Petrol,Manual,First,16.2 ,1172.0,68.0,5.0,18.22921787709497
226,Hyundai Elantra SX,Ahmedabad,2013,46000,Petrol,Manual,First,16.3 ,1797.0,147.5,5.0,18.22921787709497
227,Volkswagen Polo Diesel Trendline 1.2L,Pune,2011,81000,Diesel,Manual,Second,22.07 ,1199.0,73.9,5.0,18.22921787709497
228,Toyota Etios Cross 1.2L G,Coimbatore,2015,46950,Petrol,Manual,First,17.71 ,1197.0,78.8,5.0,8.23
229,Hyundai Grand i10 Asta Option,Chennai,2017,18000,Petrol,Manual,First,18.9 ,1197.0,82.0,5.0,18.22921787709497
230,Mahindra Scorpio S4 7 Seater,Coimbatore,2016,95942,Diesel,Manual,First,15.4 ,2179.0,120.0,7.0,18.22921787709497
231,Maruti Ciaz VXi Plus,Kochi,2016,42925,Petrol,Manual,First,20.73 ,1373.0,91.1,5.0,18.22921787709497
232,Ford Figo Petrol Titanium,Hyderabad,2014,33750,Petrol,Manual,First,15.6 ,1196.0,70.02,5.0,18.22921787709497
233,Mini Cooper S,Mumbai,2016,14000,Petrol,Automatic,First,13.6 ,1598.0,181.0,4.0,18.22921787709497
234,Hyundai Creta 1.6 CRDi SX,Bangalore,2015,29000,Diesel,Manual,First,19.67 ,1582.0,126.2,5.0,18.22921787709497
235,Mahindra XUV500 W8 2WD,Kochi,2015,67365,Diesel,Manual,First,15.1 ,2179.0,140.0,7.0,18.22921787709497
236,Mahindra XUV500 W8 2WD,Coimbatore,2014,67791,Diesel,Manual,First,15.1 ,2179.0,140.0,7.0,18.22921787709497
237,Mahindra Thar CRDe AC,Hyderabad,2016,20000,Diesel,Manual,First,16.55 ,2498.0,105.0,6.0,18.22921787709497
238,Maruti Swift Dzire VDi,Jaipur,2011,90198,Diesel,Manual,Second,19.3 ,1248.0,73.9,5.0,18.22921787709497
239,Hyundai i10 Sportz 1.1L,Pune,2010,77000,Petrol,Manual,First,19.81 ,1086.0,68.05,5.0,18.22921787709497
240,Maruti Ciaz VXi,Kochi,2017,42520,Petrol,Manual,First,20.73 ,1373.0,91.1,5.0,18.22921787709497
241,Maruti Wagon R LXI DUO BSIII,Jaipur,2009,87829,LPG,Manual,First,17.3 km/kg,1061.0,57.5,5.0,18.22921787709497
242,Maruti Baleno Delta CVT,Ahmedabad,2017,21701,Petrol,Automatic,First,21.4 ,1197.0,83.1,5.0,8.57
243,Maruti Alto LX BSIII,Coimbatore,2008,86033,Petrol,Manual,First,19.7 ,796.0,46.3,5.0,18.22921787709497
244,Hyundai Xcent 1.2 Kappa S Option,Mumbai,2015,25000,Petrol,Manual,First,19.1 ,1197.0,81.86,5.0,18.22921787709497
245,Toyota Corolla Altis Diesel D4DG,Kolkata,2011,45000,Diesel,Manual,First,21.43 ,1364.0,87.2,5.0,18.22921787709497
246,Volkswagen Polo Petrol Highline 1.2L,Coimbatore,2018,22987,Petrol,Manual,First,16.47 ,1198.0,73.9,5.0,18.22921787709497
247,Hyundai i10 Era,Jaipur,2009,48725,Petrol,Manual,First,19.81 ,1086.0,68.05,5.0,18.22921787709497
248,Hyundai Grand i10 1.2 Kappa Sportz,Hyderabad,2013,42500,Petrol,Manual,First,18.9 ,1197.0,81.86,5.0,7.19
249,Hyundai Verna 1.6 SX VTVT (O) AT,Mumbai,2014,35000,Petrol,Automatic,First,17.1 ,1591.0,121.4,5.0,18.22921787709497
250,Ford Fiesta 1.4 SXi TDCi ABS,Bangalore,2014,56000,Diesel,Manual,Second,17.8 ,1399.0,68.0,5.0,18.22921787709497
251,Tata Xenon XT EX 4X2,Hyderabad,2014,10000,Diesel,Manual,First,13.49 ,2179.0,138.03,5.0,18.22921787709497
252,Maruti Alto K10 2010-2014 VXI,Mumbai,2010,15669,Petrol,Manual,First,20.92 ,998.0,67.1,5.0,18.22921787709497
253,Audi A6 2011-2015 35 TDI Premium,Kochi,2016,55331,Diesel,Automatic,First,17.68 ,1968.0,174.33,5.0,18.22921787709497
254,Renault Duster 85PS Diesel RxL Optional,Pune,2015,44535,Diesel,Manual,First,20.46 ,1461.0,83.8,5.0,18.22921787709497
255,Mahindra Thar 4X4,Delhi,2012,74000,Diesel,Manual,First,16.55 ,2498.0,105.0,7.0,18.22921787709497
256,Toyota Innova 2.5 GX (Diesel) 7 Seater,Delhi,2014,77901,Diesel,Manual,First,12.99 ,2494.0,100.6,7.0,18.22921787709497
257,Maruti Swift Dzire VXi,Kolkata,2010,58186,Petrol,Manual,First,17.5 ,1298.0,85.8,5.0,18.22921787709497
258,Chevrolet Aveo 1.6 LT,Mumbai,2010,30000,Petrol,Manual,First,14.2 ,1598.0,102.0,5.0,18.22921787709497
259,Toyota Etios GD,Bangalore,2012,90000,Diesel,Manual,First,23.59 ,1364.0,110.38042013311147,5.0,18.22921787709497
260,Jaguar XE Portfolio,Coimbatore,2018,14730,Petrol,Automatic,First,13.5 ,1999.0,246.74,5.0,56.98
261,Maruti Alto LXi,Jaipur,2013,40000,Petrol,Manual,Second,19.7 ,796.0,46.3,5.0,18.22921787709497
262,Chevrolet Aveo U-VA 1.2 LS,Chennai,2007,88107,Petrol,Manual,Second,15.26 ,1150.0,74.9,5.0,18.22921787709497
263,Volkswagen Vento 1.5 TDI Highline,Delhi,2012,53226,Diesel,Manual,Second,20.64 ,1498.0,108.5,5.0,14.13
264,Maruti Swift VDI BSIV,Hyderabad,2013,76000,Diesel,Manual,First,25.2 ,1248.0,74.0,5.0,18.22921787709497
265,Toyota Innova 2.5 V Diesel 8-seater,Hyderabad,2008,200000,Diesel,Manual,Second,12.8 ,2494.0,102.0,8.0,18.22921787709497
266,Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,Hyderabad,2013,73000,Diesel,Automatic,First,14.21 ,2143.0,203.0,5.0,18.22921787709497
267,Hyundai Accent GLE 1,Jaipur,2009,77200,Petrol,Manual,Second,13.2 ,1495.0,94.0,5.0,18.22921787709497
268,Audi A4 New 2.0 TDI Multitronic,Delhi,2012,67000,Diesel,Automatic,Second,15.2 ,1968.0,140.8,5.0,18.22921787709497
269,Chevrolet Tavera LS B3 10 Seats BSIII,Hyderabad,2005,150000,Diesel,Manual,Second,14.8 ,2499.0,80.0,10.0,18.22921787709497
270,Mahindra Xylo E8 ABS BS IV,Jaipur,2009,145278,Diesel,Manual,Second,11.68 ,2498.0,112.0,8.0,18.22921787709497
271,Hyundai i20 Active SX Diesel,Chennai,2015,62083,Diesel,Manual,First,21.19 ,1396.0,88.76,5.0,11.48
272,Honda Civic 2006-2010 1.8 V MT,Pune,2010,61696,Petrol,Manual,First,13.5 ,1799.0,130.0,5.0,18.22921787709497
273,Ford EcoSport 1.5 Diesel Titanium,Ahmedabad,2017,28000,Diesel,Manual,First,23.0 ,1498.0,98.96,5.0,11.2
274,Mercedes-Benz New C-Class 220 CDI AT,Coimbatore,2013,50142,Diesel,Automatic,First,14.84 ,2143.0,170.0,5.0,18.22921787709497
275,Skoda Superb Elegance 1.8 TSI AT,Mumbai,2014,45000,Petrol,Automatic,First,13.7 ,1798.0,157.75,5.0,18.22921787709497
276,Skoda Rapid 1.5 TDI Elegance,Pune,2014,97513,Diesel,Manual,First,21.14 ,1498.0,103.52,5.0,18.22921787709497
277,Mercedes-Benz E-Class 2009-2013 E200 CGI Blue Efficiency,Mumbai,2011,55000,Petrol,Automatic,Second,12.3 ,1796.0,185.0,5.0,18.22921787709497
278,Maruti 800 AC,Hyderabad,2004,82000,Petrol,Manual,Second,16.1 ,796.0,37.0,4.0,18.22921787709497
279,Maruti Swift LDI,Delhi,2013,71501,Diesel,Manual,First,22.9 ,1248.0,74.0,5.0,18.22921787709497
280,Honda BR-V i-DTEC S MT,Hyderabad,2017,23000,Diesel,Manual,First,21.9 ,1498.0,98.6,7.0,14.13
281,Audi A6 2011-2015 2.0 TDI Technology,Kochi,2015,66095,Diesel,Automatic,First,17.68 ,1968.0,174.33,5.0,18.22921787709497
282,Toyota Fortuner 3.0 Diesel,Mumbai,2014,49500,Diesel,Manual,First,11.5 ,2982.0,171.0,7.0,18.22921787709497
283,Toyota Camry MT with Moonroof,Chennai,2009,90000,Petrol,Manual,First,13.4 ,2362.0,164.7,5.0,18.22921787709497
284,Maruti Ignis 1.2 Delta,Mumbai,2017,25384,Petrol,Manual,First,20.89 ,1197.0,81.8,5.0,6.41
285,Hyundai Verna 1.6 VTVT S,Delhi,2016,27529,Petrol,Manual,Second,17.01 ,1591.0,121.3,5.0,18.22921787709497
286,Honda City V MT,Kochi,2012,69297,Petrol,Manual,First,16.8 ,1497.0,116.3,5.0,18.22921787709497
287,Honda City 1.5 E MT,Hyderabad,2009,66000,Petrol,Manual,First,17.0 ,1497.0,118.0,5.0,18.22921787709497
288,Mahindra Verito 1.5 D4 BSIV,Hyderabad,2012,20000,Diesel,Manual,First,21.03 ,1461.0,65.0,5.0,9.12
289,Mercedes-Benz GL-Class 350 CDI Blue Efficiency,Chennai,2015,67000,Diesel,Automatic,First,11.3 ,2987.0,254.8,7.0,18.22921787709497
290,Hyundai EON D Lite Plus,Coimbatore,2015,36933,Petrol,Manual,First,21.1 ,814.0,55.2,5.0,18.22921787709497
291,Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2007,194000,Diesel,Manual,First,12.99 ,2494.0,100.6,8.0,18.22921787709497
292,Maruti Ertiga VDI,Kolkata,2013,42200,Diesel,Manual,First,20.77 ,1248.0,88.76,7.0,18.22921787709497
293,Audi Q7 3.0 TDI Quattro Premium Plus,Coimbatore,2015,53093,Diesel,Automatic,Second,12.07 ,2967.0,241.4,7.0,18.22921787709497
294,Honda City 1.5 E MT,Pune,2012,88000,Petrol,Manual,Third,17.0 ,1497.0,118.0,5.0,18.22921787709497
295,Maruti Alto K10 LXI,Kochi,2017,42954,Petrol,Manual,First,24.07 ,998.0,67.1,5.0,3.91
296,Tata Indica V2 eLX,Chennai,2015,106000,Diesel,Manual,First,25.0 ,1396.0,69.0,5.0,18.22921787709497
297,BMW 5 Series 2013-2017 520d Luxury Line,Kochi,2015,41700,Diesel,Automatic,First,18.12 ,1995.0,190.0,5.0,18.22921787709497
298,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Coimbatore,2018,34464,Diesel,Automatic,First,19.27 ,2143.0,170.0,5.0,18.22921787709497
299,Chevrolet Beat LT,Ahmedabad,2010,15000,Petrol,Manual,First,17.8 ,1199.0,76.8,5.0,18.22921787709497
300,Maruti Zen Estilo LXI BS IV,Pune,2010,70000,Petrol,Manual,Second,19.0 ,998.0,67.1,5.0,18.22921787709497
301,Mahindra XUV500 W8 4WD,Hyderabad,2017,119256,Diesel,Manual,First,16.0 ,2179.0,140.0,7.0,18.22921787709497
302,Honda City 1.5 V MT,Coimbatore,2011,50036,Petrol,Manual,First,17.0 ,1497.0,118.0,5.0,18.22921787709497
303,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2013,58000,Diesel,Manual,First,12.99 ,2494.0,100.6,7.0,18.22921787709497
304,Hyundai i20 1.2 Magna,Pune,2011,75000,Petrol,Manual,First,18.5 ,1197.0,80.0,5.0,18.22921787709497
305,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,53313,Petrol,Manual,First,20.92 ,998.0,67.1,5.0,18.22921787709497
306,Toyota Innova 2.5 G (Diesel) 8 Seater,Kolkata,2015,73000,Diesel,Manual,First,12.99 ,2494.0,100.6,8.0,18.22921787709497
307,Nissan Micra Diesel XV,Kochi,2013,83989,Diesel,Manual,First,23.08 ,1461.0,63.1,5.0,18.22921787709497
308,Hyundai Creta 1.6 CRDi SX,Chennai,2015,86247,Diesel,Manual,First,19.67 ,1582.0,126.2,5.0,18.22921787709497
309,Toyota Innova 2.5 G (Diesel) 8 Seater,Mumbai,2016,24000,Diesel,Manual,First,12.99 ,2494.0,100.6,8.0,18.22921787709497
310,Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,Hyderabad,2010,58000,Diesel,Automatic,First,14.21 ,2143.0,203.0,5.0,18.22921787709497
311,Hyundai i20 Asta 1.2,Kolkata,2015,33000,Petrol,Manual,First,18.6 ,1197.0,81.83,5.0,18.22921787709497
312,Honda Accord VTi-L (AT),Hyderabad,2005,100000,Petrol,Automatic,First,11.1 ,2354.0,142.0,5.0,18.22921787709497
313,Toyota Innova Crysta 2.4 ZX MT,Hyderabad,2017,65896,Diesel,Manual,First,13.68 ,2393.0,147.8,7.0,25.04
314,Hyundai i20 Asta Option 1.4 CRDi,Chennai,2016,120000,Diesel,Manual,First,22.54 ,1396.0,88.73,5.0,18.22921787709497
315,Mahindra Verito Vibe 1.5 dCi D6,Mumbai,2013,26000,Diesel,Manual,First,20.8 ,1461.0,64.1,5.0,8.92
316,Maruti Eeco 5 Seater AC,Chennai,2012,62300,Petrol,Manual,Second,15.1 ,1196.0,73.0,5.0,5.01
317,Toyota Corolla Altis 1.8 G,Kochi,2012,77801,Petrol,Manual,First,14.28 ,1798.0,138.03,5.0,19.01
318,Toyota Corolla Altis VL AT,Mumbai,2015,42000,Petrol,Automatic,First,14.28 ,1798.0,138.03,5.0,18.22921787709497
319,Mercedes-Benz A Class A180 Sport,Bangalore,2013,35000,Petrol,Automatic,Second,15.5 ,1595.0,120.7,5.0,18.22921787709497
320,Hyundai i20 Asta 1.4 CRDi,Kolkata,2016,30134,Diesel,Manual,First,22.54 ,1396.0,88.73,5.0,18.22921787709497
321,Honda Accord 2.4 M/T,Delhi,2012,79038,Petrol,Manual,First,12.8 ,2354.0,177.6,5.0,18.22921787709497
322,Honda Accord 2.4 AT,Mumbai,2009,80000,Petrol,Automatic,Second,11.7 ,2354.0,177.6,5.0,18.22921787709497
323,Mahindra Bolero SLE BSIII,Hyderabad,2012,75000,Diesel,Manual,First,15.96 ,2523.0,62.1,7.0,18.22921787709497
324,Maruti Ritz LDi,Bangalore,2010,80000,Diesel,Manual,First,21.1 ,1248.0,73.9,5.0,18.22921787709497
325,Skoda Superb Elegance 1.8 TSI AT,Delhi,2014,84419,Petrol,Automatic,First,13.7 ,1798.0,157.75,5.0,18.22921787709497
326,Honda Amaze S i-Vtech,Kolkata,2013,70200,Petrol,Manual,First,18.0 ,1198.0,86.7,5.0,18.22921787709497
327,Volkswagen Vento Petrol Highline,Chennai,2013,98000,Petrol,Manual,Second,15.04 ,1598.0,103.6,5.0,18.22921787709497
328,Maruti Ritz LDi,Chennai,2016,131503,Diesel,Manual,First,23.2 ,1248.0,73.94,5.0,18.22921787709497
329,Honda City 1.5 S MT,Jaipur,2011,54652,Petrol,Manual,First,17.0 ,1497.0,118.0,5.0,18.22921787709497
330,Volkswagen Jetta 2007-2011 1.6 Trendline,Mumbai,2010,92000,Petrol,Manual,Second,14.0 ,1595.0,102.0,5.0,18.22921787709497
331,Ford Figo Petrol ZXI,Kolkata,2010,44287,Petrol,Manual,First,15.6 ,1196.0,70.0,5.0,18.22921787709497
332,Toyota Innova 2.5 G (Diesel) 7 Seater,Pune,2015,205000,Diesel,Manual,First,12.99 ,2494.0,100.6,7.0,18.22921787709497
333,Hyundai Elite i20 Asta Option,Hyderabad,2015,48000,Petrol,Manual,First,18.6 ,1197.0,81.86,5.0,9.45
334,Mahindra KUV 100 mFALCON D75 K2,Mumbai,2016,18000,Diesel,Manual,First,25.32 ,1198.0,77.0,6.0,18.22921787709497
335,Bentley Flying Spur W12,Bangalore,2008,31200,Petrol,Automatic,Second,10.2 ,5998.0,616.0,5.0,18.22921787709497
336,Honda City 1.5 V MT,Pune,2009,72000,Petrol,Manual,First,17.0 ,1497.0,118.0,5.0,18.22921787709497
337,Hyundai i20 Magna,Mumbai,2009,85000,Petrol,Manual,First,18.5 ,1197.0,80.0,5.0,18.22921787709497
338,Honda City 1.5 V MT,Kolkata,2010,27000,Petrol,Manual,First,17.0 ,1497.0,118.0,5.0,18.22921787709497
339,Toyota Fortuner 2.8 2WD MT,Mumbai,2012,126000,Diesel,Manual,First,14.24 ,2755.0,174.5,7.0,35.16
340,Tata Indica V2 DLS BSIII,Pune,2017,50000,Diesel,Manual,First,17.88 ,1405.0,48.21,5.0,18.22921787709497
341,Honda Amaze S i-Vtech,Mumbai,2013,58811,Petrol,Manual,Second,18.0 ,1198.0,86.7,5.0,18.22921787709497
342,Volkswagen Polo Diesel Highline 1.2L,Pune,2013,52196,Diesel,Manual,First,22.07 ,1199.0,73.9,5.0,18.22921787709497
343,Nissan Micra Active XV,Coimbatore,2017,45105,Petrol,Manual,First,19.69 ,1198.0,67.04,5.0,6.78
344,Hyundai Grand i10 Sportz,Hyderabad,2015,25160,Petrol,Manual,Second,18.9 ,1197.0,82.0,5.0,18.22921787709497
345,Tata Tigor 1.2 Revotron XZ Option,Hyderabad,2017,18000,Petrol,Manual,First,20.3 ,1199.0,84.0,5.0,18.22921787709497
346,Honda Accord 2001-2003 2.3 VTI L MT,Bangalore,2007,74000,Petrol,Manual,First,11.9 ,2354.0,144.0,5.0,18.22921787709497
347,Mahindra Xylo E4,Chennai,2009,67700,Diesel,Manual,First,14.0 ,2498.0,112.0,7.0,18.22921787709497
348,Land Rover Freelander 2 S Business Edition,Kochi,2015,61062,Diesel,Automatic,First,12.39 ,2179.0,147.51,5.0,18.22921787709497
349,Toyota Innova 2.5 VX (Diesel) 7 Seater,Kolkata,2016,105000,Diesel,Manual,First,12.99 ,2494.0,100.6,7.0,18.22921787709497
350,Tata Indigo eCS eLX BS IV,Pune,2013,155550,Diesel,Manual,First,25.0 ,1396.0,69.01,5.0,18.22921787709497
351,Maruti Vitara Brezza VDi Option,Delhi,2016,66000,Diesel,Manual,First,24.3 ,1248.0,88.5,5.0,18.22921787709497
352,Honda City 1.5 V MT,Kochi,2012,93884,Petrol,Manual,Second,17.0 ,1497.0,118.0,5.0,18.22921787709497
353,Fiat Linea Emotion (Diesel),Mumbai,2009,200000,Diesel,Manual,First,20.4 ,1248.0,91.7,5.0,18.22921787709497
354,Tata Tiago 1.2 Revotron XZ,Kolkata,2016,57200,Petrol,Manual,First,23.84 ,1199.0,84.0,5.0,6.24
355,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2013,93568,Diesel,Manual,First,22.07 ,1199.0,73.9,5.0,18.22921787709497
356,Maruti Wagon R VXI BS IV,Kolkata,2014,54000,Petrol,Manual,First,20.51 ,998.0,67.04,5.0,18.22921787709497
357,Hyundai Creta 1.6 CRDi AT SX Plus,Bangalore,2016,40571,Diesel,Automatic,First,17.01 ,1582.0,126.2,5.0,18.22921787709497
358,Audi A4 35 TDI Technology,Hyderabad,2015,59000,Diesel,Automatic,First,18.25 ,1968.0,187.74,5.0,55.61
359,BMW X1 xDrive 20d xLine,Coimbatore,2017,17273,Diesel,Automatic,First,20.68 ,1995.0,190.0,5.0,18.22921787709497
360,Ford Endeavour 3.0L AT 4x2,Mumbai,2011,100077,Diesel,Automatic,Second,11.4 ,2953.0,153.86,7.0,18.22921787709497
361,Hyundai i10 Magna AT,Kochi,2011,39934,Petrol,Automatic,First,19.2 ,1197.0,80.0,5.0,18.22921787709497
362,Maruti Vitara Brezza LDi,Bangalore,2016,46000,Diesel,Manual,First,24.3 ,1248.0,88.5,5.0,9.42
363,Honda City 1.5 V MT,Coimbatore,2016,30842,Petrol,Manual,First,17.0 ,1497.0,118.0,5.0,18.22921787709497
364,Mercedes-Benz New C-Class 200 K AT,Mumbai,2005,65000,Petrol,Automatic,Second,11.7 ,1796.0,178.0,5.0,18.22921787709497
365,Volvo XC90 2007-2015 D5 AWD,Bangalore,2016,70000,Diesel,Manual,First,11.1 ,2400.0,200.0,7.0,18.22921787709497
366,Toyota Fortuner 3.0 Diesel,Chennai,2011,150152,Diesel,Manual,Second,11.5 ,2982.0,171.0,7.0,18.22921787709497
367,Nissan Teana 230jM,Coimbatore,2009,67038,Petrol,Automatic,First,9.1 ,2349.0,110.38042013311147,5.0,18.22921787709497
368,Hyundai Santro Xing GLS CNG,Bangalore,2011,43985,CNG,Manual,First,11.88 km/kg,1086.0,62.1,5.0,18.22921787709497
369,BMW X6 xDrive30d,Coimbatore,2014,58598,Diesel,Automatic,First,11.2 ,2993.0,241.0,4.0,18.22921787709497
370,Tata Indigo CS eVX,Pune,2016,100000,Diesel,Manual,First,25.0 ,1396.0,69.01,5.0,18.22921787709497
371,Audi Q5 30 TDI quattro Premium Plus,Jaipur,2016,35000,Diesel,Automatic,First,14.16 ,1968.0,174.3,5.0,18.22921787709497
372,Hyundai i10 Sportz 1.2,Pune,2008,84500,Petrol,Manual,First,20.36 ,1197.0,78.9,5.0,18.22921787709497
373,Maruti Baleno Delta 1.2,Kolkata,2018,18006,Petrol,Manual,First,21.4 ,1197.0,83.1,5.0,18.22921787709497
374,Maruti Swift VDI,Hyderabad,2013,99000,Diesel,Manual,First,28.4 ,1248.0,74.0,5.0,8.44
375,Maruti Eeco 5 Seater AC,Delhi,2014,51200,Petrol,Manual,First,15.1 ,1196.0,73.0,5.0,4.56
376,Toyota Land Cruiser Prado VX L,Pune,2014,130000,Diesel,Automatic,First,11.0 ,2982.0,170.3,7.0,18.22921787709497
377,Hyundai Tucson 2.0 e-VGT 4WD AT GLS,Ahmedabad,2017,25000,Diesel,Automatic,First,16.38 ,1995.0,182.46,5.0,29.9
378,Maruti Baleno Delta,Kochi,2017,32352,Petrol,Manual,First,21.4 ,1197.0,83.1,5.0,7.12
379,Hyundai i10 Sportz 1.2,Bangalore,2011,20000,Petrol,Manual,First,20.36 ,1197.0,78.9,5.0,18.22921787709497
380,Audi A4 2.0 TDI,Bangalore,2013,46000,Diesel,Automatic,Second,16.55 ,1968.0,147.51,5.0,18.22921787709497
381,Maruti Dzire AMT ZXI Plus,Mumbai,2018,12500,Petrol,Automatic,First,22.0 ,1197.0,81.8,5.0,9.94
382,Toyota Innova 2.5 GX 8 STR,Delhi,2011,53138,Diesel,Manual,Third,12.8 ,2494.0,102.0,8.0,18.22921787709497
383,Maruti Swift Dzire Tour LDI,Pune,2013,170000,Diesel,Manual,Second,23.4 ,1248.0,74.0,5.0,18.22921787709497
384,Maruti Swift LDI,Kolkata,2012,38583,Diesel,Manual,First,22.9 ,1248.0,74.0,5.0,18.22921787709497
385,Maruti Wagon R VXI AMT Opt,Hyderabad,2016,26000,Petrol,Automatic,First,22.5 ,998.0,67.0,5.0,6.44
386,Hyundai Creta 1.6 SX Plus Dual Tone Petrol,Coimbatore,2017,22865,Petrol,Manual,First,15.29 ,1591.0,121.3,5.0,18.22921787709497
387,Skoda Laura L and K MT,Kolkata,2013,45000,Diesel,Manual,First,17.5 ,1896.0,106.0,5.0,18.22921787709497
388,Maruti Swift LXI Option,Kochi,2017,62889,Petrol,Manual,First,20.4 ,1197.0,81.8,5.0,18.22921787709497
389,Maruti Omni MPI CARGO BSIV,Pune,2013,153000,Petrol,Manual,First,16.8 ,796.0,34.2,5.0,18.22921787709497
390,Maruti Swift VDI,Ahmedabad,2016,67000,Diesel,Manual,First,28.4 ,1248.0,74.0,5.0,7.67
391,Honda Amaze S AT i-Vtech,Mumbai,2014,39000,Petrol,Automatic,First,15.5 ,1198.0,86.7,5.0,18.22921787709497
392,Toyota Corolla H2,Chennai,2006,164000,Petrol,Manual,Second,13.4 ,1794.0,125.0,5.0,18.22921787709497
393,Maruti Swift Dzire Vdi BSIV,Coimbatore,2018,57178,Diesel,Manual,First,19.3 ,1248.0,73.9,5.0,18.22921787709497
394,Audi A6 2011-2015 2.0 TDI Premium Plus,Delhi,2013,40000,Diesel,Automatic,First,17.68 ,1968.0,174.33,5.0,18.22921787709497
395,Chevrolet Spark 1.0 LT,Mumbai,2007,40000,Petrol,Manual,First,18.0 ,995.0,62.0,5.0,18.22921787709497
396,Hyundai Verna CRDi ABS,Mumbai,2007,89564,Diesel,Manual,Third,18.1 ,1493.0,110.0,5.0,18.22921787709497
397,Maruti Ertiga VXI,Delhi,2012,66727,Petrol,Manual,First,16.02 ,1373.0,93.7,7.0,18.22921787709497
